dataset,model,seed,interface,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
ozone-level-8hr,controlled_mlp,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,1.2443311464458854e-15,1.2214215023172209e-15,1.248901708805717e-15
ozone-level-8hr,controlled_mlp,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,1.3123688212959053e-15,1.317529496442456e-15,1.330775525297551e-15
ozone-level-8hr,controlled_mlp,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,1.1854977503952501e-15,1.1843911844034333e-15,1.1999526028376654e-15
ozone-level-8hr,controlled_mlp,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,1.1510535842143578e-15,1.1783345247778173e-15,1.1576301633738713e-15
ozone-level-8hr,controlled_mlp,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,1.5184543141274741e-15,1.5265791434927596e-15,1.5366433024157365e-15
ozone-level-8hr,controlled_mlp,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,1.2774534411112359e-15,1.2719637944020539e-15,1.2919488820815807e-15
ozone-level-8hr,controlled_mlp,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,1.3744203492631176e-15,1.3826530737196272e-15,1.4026379241546914e-15
ozone-level-8hr,controlled_mlp,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,1.1551892666893457e-15,1.163804728992128e-15,1.1702386359854264e-15
ozone-level-8hr,controlled_mlp,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m0,True,1.3012043264760997e-15,1.3180127699209403e-15,1.3085146704999124e-15
ozone-level-8hr,controlled_mlp,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m1,True,1.1706973399509084e-15,1.2312185477118371e-15,1.1924666513840111e-15
ozone-level-8hr,controlled_mlp,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m2,True,1.2835041646672286e-15,1.3173276916727199e-15,1.3023999482173797e-15
ozone-level-8hr,controlled_mlp,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m3,True,1.3918087526378377e-15,1.4653583430657015e-15,1.3915131346148935e-15
ozone-level-8hr,controlled_mlp,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m4,True,1.3954435538466763e-15,1.4380136113642764e-15,1.4091319195234873e-15
ozone-level-8hr,controlled_mlp,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m5,True,1.2971836981096597e-15,1.3252935129084529e-15,1.3076727237935892e-15
ozone-level-8hr,controlled_mlp,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m6,True,1.355683337335026e-15,1.423478077675233e-15,1.3992521815142688e-15
ozone-level-8hr,controlled_mlp,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m7,True,1.3032026600758713e-15,1.347961447917904e-15,1.317696242606723e-15
ozone-level-8hr,controlled_mlp,0,PCA-canonicalization,pca__v1__orthogonal_all__m0,True,9.385803359776815e-15,9.315201706087481e-15,9.382362936141392e-15
ozone-level-8hr,controlled_mlp,0,PCA-canonicalization,pca__v1__orthogonal_all__m1,True,9.489745605554763e-15,9.447313052847727e-15,9.481143814511365e-15
ozone-level-8hr,controlled_mlp,0,PCA-canonicalization,pca__v1__orthogonal_all__m2,True,1.0595566299112353e-14,1.0528103412302102e-14,1.0528845486519913e-14
ozone-level-8hr,controlled_mlp,0,PCA-canonicalization,pca__v1__orthogonal_all__m3,True,1.1820972130005062e-14,1.1783513310214387e-14,1.1847926041570964e-14
ozone-level-8hr,controlled_mlp,0,PCA-canonicalization,pca__v1__orthogonal_all__m4,True,1.4601838504684167e-14,1.4609529621368847e-14,1.457154416717386e-14
ozone-level-8hr,controlled_mlp,0,PCA-canonicalization,pca__v1__orthogonal_all__m5,True,9.098194496087039e-15,9.008736132505963e-15,9.069069300704107e-15
ozone-level-8hr,controlled_mlp,0,PCA-canonicalization,pca__v1__orthogonal_all__m6,True,1.4160344568041996e-14,1.4149817178772589e-14,1.4173770363621644e-14
ozone-level-8hr,controlled_mlp,0,PCA-canonicalization,pca__v1__orthogonal_all__m7,True,1.1511243065496169e-14,1.150601008464063e-14,1.1494583758130038e-14
ozone-level-8hr,controlled_mlp,1,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,1.2443311464458854e-15,1.2214215023172209e-15,1.248901708805717e-15
ozone-level-8hr,controlled_mlp,1,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,1.3123688212959053e-15,1.317529496442456e-15,1.330775525297551e-15
ozone-level-8hr,controlled_mlp,1,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,1.1854977503952501e-15,1.1843911844034333e-15,1.1999526028376654e-15
ozone-level-8hr,controlled_mlp,1,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,1.1510535842143578e-15,1.1783345247778173e-15,1.1576301633738713e-15
ozone-level-8hr,controlled_mlp,1,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,1.5184543141274741e-15,1.5265791434927596e-15,1.5366433024157365e-15
ozone-level-8hr,controlled_mlp,1,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,1.2774534411112359e-15,1.2719637944020539e-15,1.2919488820815807e-15
ozone-level-8hr,controlled_mlp,1,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,1.3744203492631176e-15,1.3826530737196272e-15,1.4026379241546914e-15
ozone-level-8hr,controlled_mlp,1,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,1.1551892666893457e-15,1.163804728992128e-15,1.1702386359854264e-15
ozone-level-8hr,controlled_mlp,1,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m0,True,1.3012043264760997e-15,1.3180127699209403e-15,1.3085146704999124e-15
ozone-level-8hr,controlled_mlp,1,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m1,True,1.1706973399509084e-15,1.2312185477118371e-15,1.1924666513840111e-15
ozone-level-8hr,controlled_mlp,1,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m2,True,1.2835041646672286e-15,1.3173276916727199e-15,1.3023999482173797e-15
