panel,dataset,problem_type,model,seed,method,split,alpha,raw_fallback,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
NEW_tail_prospective,debutanizer,regression,catboost,0,Raw,validation,0.0,True,0.18326501370636655,0.18326501370636655,0.2022376607868062,0.0,9.733722891658545,0.08165466258454165,0.08165466258454165,0.15991584786302804,0.0,0.0,0.07826118527848638,0.0,False
NEW_tail_prospective,debutanizer,regression,catboost,0,Raw,test,0.0,True,0.17960430445484338,0.17960430445484338,0.1906561182116496,0.0,9.733722891658545,0.08726809926912552,0.08726809926912552,0.1569418532648913,0.0,0.0,0.06967375399576578,0.0,False
NEW_tail_prospective,debutanizer,regression,catboost,0,GramAnchor-m16,validation,1.0,False,0.18326501370636655,0.0,0.0,1.0,2.025358830811456,0.08165466258454165,0.086650211581744,0.15991584786302804,0.004995548997202351,0.06117898034334755,0.07826118527848638,0.06383175745966632,False
NEW_tail_prospective,debutanizer,regression,catboost,0,GramAnchor-m16,test,1.0,False,0.17960430445484338,0.0,0.0,1.0,2.025358830811456,0.08726809926912552,0.09410702238379096,0.1569418532648913,0.0068389231146654406,0.07836681641907807,0.06967375399576578,0.09815637485359345,False
NEW_tail_prospective,debutanizer,regression,catboost,0,Raw+GramAnchor@0.5,validation,0.5,False,0.18326501370636655,0.09163250685318328,0.10111883039340311,0.5,11.75908172247,0.08165466258454165,0.08353376731872526,0.15991584786302804,0.0018791047341836092,0.023012828351817224,0.07826118527848638,0.02401068585272457,False
NEW_tail_prospective,debutanizer,regression,catboost,0,Raw+GramAnchor@0.5,test,0.5,False,0.17960430445484338,0.08980215222742169,0.09532805910582479,0.5,11.75908172247,0.08726809926912552,0.09004441811011137,0.1569418532648913,0.0027763188409858502,0.03181367377355131,0.06967375399576578,0.03984741286015065,False
NEW_tail_prospective,debutanizer,regression,catboost,0,Raw+GramAnchor@0.75,validation,0.75,False,0.18326501370636655,0.045816253426591624,0.050559415196701527,0.7500000000000001,11.75908172247,0.08165466258454165,0.08494456668501615,0.15991584786302804,0.0032899041004745,0.04029046225092508,0.07826118527848638,0.04203749392202061,False
NEW_tail_prospective,debutanizer,regression,catboost,0,Raw+GramAnchor@0.75,test,0.75,False,0.17960430445484338,0.044901076113710844,0.047664029552912386,0.75,11.75908172247,0.08726809926912552,0.09192432841236549,0.1569418532648913,0.004656229143239973,0.0533554549971423,0.06967375399576578,0.06682902637229712,False
NEW_tail_prospective,debutanizer,regression,catboost,0,PCA-canonicalization,validation,1.0,False,0.18326501370636655,0.09577776081148989,0.10757087008246098,0.4773810948719962,9.829887745669112,0.08165466258454165,0.08990027040116397,0.15991584786302804,0.008245607816622313,0.10098146946703959,0.07826118527848638,0.10536011928877584,False
NEW_tail_prospective,debutanizer,regression,catboost,0,PCA-canonicalization,test,1.0,False,0.17960430445484338,0.09475093404163698,0.09965579620738518,0.4724461959348,9.829887745669112,0.08726809926912552,0.10177980212513417,0.1569418532648913,0.014511702856008654,0.1662887467189598,0.06967375399576578,0.20828076605274579,False
NEW_tail_prospective,debutanizer,regression,catboost,0,RankAdaptiveGram,validation,1.0,False,0.18326501370636655,0.0,0.0,1.0,1.0122306821867824,0.08165466258454165,0.08208290227664686,0.15991584786302804,0.0004282396921052034,0.005244522217721772,0.07826118527848638,0.005471929546956714,False
NEW_tail_prospective,debutanizer,regression,catboost,0,RankAdaptiveGram,test,1.0,False,0.17960430445484338,0.0,0.0,1.0,1.0122306821867824,0.08726809926912552,0.08981880719879373,0.1569418532648913,0.0025507079296682167,0.029228411653634226,0.06967375399576578,0.036609308145262684,False
