dataset,model,seed,embedding,k,interface,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
steel-plates-fault,controlled_mlp,0,PLE,4,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k4_embedding_rotated_m0,True,8.704829700411177e-16,8.695034765454961e-16,8.669004363428257e-16
steel-plates-fault,controlled_mlp,0,PLE,4,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k4_embedding_rotated_m1,True,1.749924527418387e-15,1.9259084327102086e-15,1.81278293816519e-15
steel-plates-fault,controlled_mlp,0,PLE,4,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k4_embedding_rotated_m2,True,1.2505257777858737e-15,1.2486565482322273e-15,1.2387467677558572e-15
steel-plates-fault,controlled_mlp,0,PLE,4,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k4_embedding_rotated_m3,True,2.192803014778454e-15,2.601085671887508e-15,2.3537599529233554e-15
steel-plates-fault,controlled_mlp,0,PLE,4,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k4_embedding_rotated_m4,True,1.187998921675655e-15,1.1870157192923733e-15,1.174729497663066e-15
steel-plates-fault,controlled_mlp,0,PLE,4,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k4_embedding_rotated_m5,True,1.0134697258496998e-15,1.0117009997003804e-15,9.978024104505564e-16
steel-plates-fault,controlled_mlp,0,PLE,4,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k4_embedding_rotated_m6,True,1.3092479461495552e-15,1.2953869141913228e-15,1.29133075909112e-15
steel-plates-fault,controlled_mlp,0,PLE,4,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k4_embedding_rotated_m7,True,1.068708632587211e-15,1.0485321669497704e-15,1.0486497672266441e-15
steel-plates-fault,controlled_mlp,0,PLE,4,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k4_embedding_rotated_m0,True,7.899158235233398e-16,7.900150940010333e-16,7.834845558630762e-16
steel-plates-fault,controlled_mlp,0,PLE,4,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k4_embedding_rotated_m1,True,1.3527803948375236e-15,1.4082973999384358e-15,1.3587251539774893e-15
steel-plates-fault,controlled_mlp,0,PLE,4,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k4_embedding_rotated_m2,True,1.0090944230363718e-15,9.76498057706219e-16,9.881056842227631e-16
steel-plates-fault,controlled_mlp,0,PLE,4,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k4_embedding_rotated_m3,True,1.5536987560164317e-15,1.8020707298246224e-15,1.6468819337007482e-15
steel-plates-fault,controlled_mlp,0,PLE,4,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k4_embedding_rotated_m4,True,1.0213064620784149e-15,9.926926388466511e-16,9.939689745539022e-16
steel-plates-fault,controlled_mlp,0,PLE,4,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k4_embedding_rotated_m5,True,9.492614896761313e-16,9.426107073579609e-16,9.35670310339941e-16
steel-plates-fault,controlled_mlp,0,PLE,4,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k4_embedding_rotated_m6,True,9.753886646326432e-16,9.501254658300362e-16,9.507752247507625e-16
steel-plates-fault,controlled_mlp,0,PLE,4,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k4_embedding_rotated_m7,True,9.896731079316373e-16,9.55012740564325e-16,9.660639620645058e-16
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m0,True,1.1954587214105008e-15,1.1957762958376833e-15,1.1823307091452103e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m1,True,1.4819016192607085e-15,1.4361967638329347e-15,1.4382710985976337e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m2,True,1.8973136643374004e-15,1.8511771610787243e-15,1.867712572875126e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m3,True,1.1940039734523728e-15,1.1726911045513735e-15,1.1758190070434641e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m4,True,9.217000621257269e-16,9.06017130479575e-16,9.02065821966531e-16
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m5,True,1.2885765575646836e-15,1.2396083080586302e-15,1.2646824030583193e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m6,True,1.8198057450578316e-15,1.793324655520218e-15,1.787902333709335e-15
steel-plates-fault,controlled_mlp,0,PLE,8,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k8_embedding_rotated_m7,True,2.1564628234719632e-15,2.106795861199721e-15,2.1100894695693632e-15
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m0,True,1.1867745771393777e-15,1.1803683496372212e-15,1.1599259076536216e-15
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m1,True,1.0792006931339157e-15,1.0443793331359252e-15,1.0478839795234965e-15
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m2,True,1.252521089253873e-15,1.1791882850718915e-15,1.2249367371567356e-15
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m3,True,1.313070150039594e-15,1.273155610447589e-15,1.2965399414574347e-15
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m4,True,9.8016646214593e-16,9.573216881459034e-16,9.61256035496174e-16
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m5,True,1.4128351646985961e-15,1.3466439902963102e-15,1.3960430076228378e-15
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m6,True,1.1299982603076452e-15,1.108834905203004e-15,1.0975869788361049e-15
steel-plates-fault,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k8_embedding_rotated_m7,True,1.1823943093052012e-15,1.1437632919605087e-15,1.1488648285783644e-15
steel-plates-fault,controlled_mlp,0,PLE,16,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k16_embedding_rotated_m0,True,2.3271233693240874e-15,2.264555518728125e-15,2.257796796320711e-15
steel-plates-fault,controlled_mlp,0,PLE,16,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k16_embedding_rotated_m1,True,1.8136472613697046e-15,1.7319878021240085e-15,1.7493979230511645e-15
steel-plates-fault,controlled_mlp,0,PLE,16,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k16_embedding_rotated_m2,True,2.0218755981778185e-15,1.954176401583236e-15,1.9611855850099217e-15
steel-plates-fault,controlled_mlp,0,PLE,16,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k16_embedding_rotated_m3,True,2.194341199631721e-15,2.1004417008574133e-15,2.1190437994039106e-15
steel-plates-fault,controlled_mlp,0,PLE,16,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k16_embedding_rotated_m4,True,1.7361494212649632e-15,1.6909550575109023e-15,1.686792676230659e-15
steel-plates-fault,controlled_mlp,0,PLE,16,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k16_embedding_rotated_m5,True,3.723022678026724e-15,3.627295090688417e-15,3.647382147569527e-15
steel-plates-fault,controlled_mlp,0,PLE,16,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k16_embedding_rotated_m6,True,2.3426082340877162e-15,2.273148841159369e-15,2.2851403026754236e-15
steel-plates-fault,controlled_mlp,0,PLE,16,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k16_embedding_rotated_m7,True,3.444907518194237e-15,3.3631806652297047e-15,3.375725759583197e-15
steel-plates-fault,controlled_mlp,0,PLE,16,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k16_embedding_rotated_m0,True,2.7241526425011776e-15,2.638158390447878e-15,2.6392565627191618e-15
steel-plates-fault,controlled_mlp,0,PLE,16,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k16_embedding_rotated_m1,True,2.1198303937179652e-15,2.0146863436629753e-15,2.0417079380610156e-15
steel-plates-fault,controlled_mlp,0,PLE,16,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k16_embedding_rotated_m2,True,2.364998868016855e-15,2.27480755998161e-15,2.290687785655023e-15
steel-plates-fault,controlled_mlp,0,PLE,16,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k16_embedding_rotated_m3,True,2.566988401564075e-15,2.4452780850752925e-15,2.4752711479648042e-15
steel-plates-fault,controlled_mlp,0,PLE,16,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k16_embedding_rotated_m4,True,2.0296909340181517e-15,1.9673697729028684e-15,1.9689707884931238e-15
steel-plates-fault,controlled_mlp,0,PLE,16,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k16_embedding_rotated_m5,True,4.358916939029888e-15,4.226419219674304e-15,4.26425510521807e-15
steel-plates-fault,controlled_mlp,0,PLE,16,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k16_embedding_rotated_m6,True,2.740140306355959e-15,2.646195342606044e-15,2.6692019243988416e-15
steel-plates-fault,controlled_mlp,0,PLE,16,RankAdaptiveGram-after-embedding,rank_adaptive_gram__ple_k16_embedding_rotated_m7,True,4.033268284561349e-15,3.918674048570655e-15,3.946691653587098e-15
steel-plates-fault,controlled_mlp,0,PLE,32,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k32_embedding_rotated_m0,True,1.6218368638085584e-15,1.5748234028399395e-15,1.5886656074195845e-15
steel-plates-fault,controlled_mlp,0,PLE,32,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k32_embedding_rotated_m1,True,4.338825430725045e-15,4.242576420882356e-15,4.2289752398165934e-15
steel-plates-fault,controlled_mlp,0,PLE,32,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k32_embedding_rotated_m2,True,1.419698852397617e-15,1.3117155573570219e-15,1.3897385023218784e-15
steel-plates-fault,controlled_mlp,0,PLE,32,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k32_embedding_rotated_m3,True,4.399309525161907e-15,4.317236633877308e-15,4.296664622117828e-15
steel-plates-fault,controlled_mlp,0,PLE,32,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k32_embedding_rotated_m4,True,7.569323390542564e-15,7.388717141648298e-15,7.402633908271615e-15
steel-plates-fault,controlled_mlp,0,PLE,32,Gram-after-embedding,gram_anchor__pivot_tie_v2__ple_k32_embedding_rotated_m5,True,2.670484218184145e-15,2.617090325200237e-15,2.5961295615572977e-15
