model,task,total risk,schema-only,seed-only,interaction
ft_transformer,classification,0.04427880010510974,0.014927241220313105,0.0029391474663664667,0.02641241141843006
ft_transformer,regression,0.06441389805140134,0.018862347892791745,0.006775343789068073,0.038776206369541426
mlp,classification,0.0009337323453911333,0.0003711728682649083,0.00017713357146535122,0.0003854259056608056
mlp,regression,0.0069739428997766285,0.0025191688359707,0.0013583144261425832,0.0030964596376632557
resnet,classification,0.020652412597686815,0.007047624253131817,0.0027738584232807556,0.010830929921274135
resnet,regression,0.041393785076855795,0.013099150534928395,0.006753243544668311,0.021541390997258988
tabm,classification,0.0012443037512425723,0.00043171751496414443,0.00031001808451282275,0.0005025681517655278
tabm,regression,0.00828300923777386,0.0027044027209470775,0.002188578122064328,0.003390028394762361
catboost_native,classification,0.00209265300394085,0.0004424507622653553,0.00035366568419098113,0.0012965365574844332
catboost_native,regression,0.0036334890696106,0.0007051496981215834,0.0008372726148822666,0.0020910667566066666
lightgbm,classification,0.0002674557948683411,0.0002674557948683411,0.0,0.0
lightgbm,regression,2.217338666031667e-05,2.217338666031667e-05,0.0,0.0
native_histgb,classification,0.0015121566022769115,0.0015121566022769115,0.0,0.0
native_histgb,regression,2.8985014177666668e-05,2.8985014177666668e-05,0.0,0.0
onehot_linear,classification,4.048004412407988e-15,4.048004412407988e-15,0.0,0.0
onehot_linear,regression,3.181824605056425e-12,3.181824605056425e-12,0.0,0.0
xgboost,classification,0.0042774891776472,0.0042774891776472,0.0,0.0
xgboost,regression,0.006818169355353721,0.006818169355353721,0.0,0.0
tabpfn,classification,0.0006164762960061479,0.0006164762960061479,0.0,0.0
