task,seed,model,k,loss,method,metric,metric_name,score,test_max_simplex_error,test_minimum_weight,test_objective_nonincrease_fraction,test_optimized_objective,test_uniform_objective,validation_loss,validation_max_simplex_error,validation_minimum_weight,validation_objective_nonincrease_fraction,validation_optimized_objective,validation_uniform_objective,model_score,model_metric,score_gain_vs_model,rmse_change_vs_model
S1_rotating,20261001,ModernNCA,,0.2782634498134839,distance_model,0.2782634498134839,standardized_rmse,-0.2782634498134839,,,,,,,,,,,,-0.2782634498134839,0.2782634498134839,0.0,0.0
S1_rotating,20261001,ModernNCA,64.0,0.2769793703075673,aggregate_exact,0.2769793703075673,standardized_rmse,-0.2769793703075673,1.7881393432617188e-07,0.0,1.0,0.0012910625082440674,0.0026918790536001325,0.281744844638677,1.7881393432617188e-07,0.0,1.0,0.0013209381722845137,0.0027895604143850505,-0.2782634498134839,0.2782634498134839,0.00128407950591658,-0.00128407950591658
S1_rotating,20261001,ModernNCA,64.0,0.2801965200440338,aggregate_estimated,0.2801965200440338,standardized_rmse,-0.2801965200440338,2.2351741790771484e-07,0.0,1.0,0.0024020023411139846,0.004162645433098078,0.2858809551115759,2.086162567138672e-07,0.0,1.0,0.002705245395191014,0.004638095269910991,-0.2782634498134839,0.2782634498134839,-0.0019330702305498937,0.0019330702305498937
S1_rotating,20261001,ModernNCA,,0.3188594482716346,direct_estimated_proxy,0.3188594482716346,standardized_rmse,-0.3188594482716346,,,,,,,,,,,,-0.2782634498134839,0.2782634498134839,-0.040595998458150706,0.040595998458150706
S1_rotating,20261002,ModernNCA,,0.28040218238829856,distance_model,0.28040218238829856,standardized_rmse,-0.28040218238829856,,,,,,,,,,,,-0.28040218238829856,0.28040218238829856,0.0,0.0
S1_rotating,20261002,ModernNCA,64.0,0.2759616454257004,aggregate_exact,0.2759616454257004,standardized_rmse,-0.2759616454257004,2.2351741790771484e-07,0.0,1.0,0.0012882595474366099,0.002677577780559659,0.2861658842353916,1.6391277313232422e-07,0.0,1.0,0.00134522098232992,0.0029048602445982397,-0.28040218238829856,0.28040218238829856,0.004440536962598163,-0.004440536962598163
S1_rotating,20261002,ModernNCA,64.0,0.2770506292587219,aggregate_estimated,0.2770506292587219,standardized_rmse,-0.2770506292587219,2.086162567138672e-07,0.0,1.0,0.0021922847372479737,0.0035022119409404695,0.28712618825324826,1.7881393432617188e-07,0.0,1.0,0.0022547488915733993,0.0036979602882638574,-0.28040218238829856,0.28040218238829856,0.0033515531295766343,-0.0033515531295766343
S1_rotating,20261002,ModernNCA,,0.32453968774425107,direct_estimated_proxy,0.32453968774425107,standardized_rmse,-0.32453968774425107,,,,,,,,,,,,-0.28040218238829856,0.28040218238829856,-0.04413750535595251,0.04413750535595251
S1_rotating,20261003,ModernNCA,,0.30633233124786213,distance_model,0.30633233124786213,standardized_rmse,-0.30633233124786213,,,,,,,,,,,,-0.30633233124786213,0.30633233124786213,0.0,0.0
S1_rotating,20261003,ModernNCA,64.0,0.30351522609297704,aggregate_exact,0.30351522609297704,standardized_rmse,-0.30351522609297704,1.9371509552001953e-07,0.0,1.0,0.001296240254305303,0.002341853512916714,0.27397740743526006,1.7881393432617188e-07,0.0,1.0,0.0013437069137580693,0.0026849450659938157,-0.30633233124786213,0.30633233124786213,0.002817105154885091,-0.002817105154885091
S1_rotating,20261003,ModernNCA,64.0,0.30538610703334584,aggregate_estimated,0.30538610703334584,standardized_rmse,-0.30538610703334584,1.1920928955078125e-07,0.0,1.0,0.0021545864874497056,0.0034148275735788047,0.27633672649552576,1.4901161193847656e-07,0.0,1.0,0.002204615855589509,0.003569684049580246,-0.30633233124786213,0.30633233124786213,0.0009462242145162891,-0.0009462242145162891
S1_rotating,20261003,ModernNCA,,0.34408389525261385,direct_estimated_proxy,0.34408389525261385,standardized_rmse,-0.34408389525261385,,,,,,,,,,,,-0.30633233124786213,0.30633233124786213,-0.037751564004751714,0.037751564004751714
S1_rotating,20261004,ModernNCA,,0.2747307592747345,distance_model,0.2747307592747345,standardized_rmse,-0.2747307592747345,,,,,,,,,,,,-0.2747307592747345,0.2747307592747345,0.0,0.0
