hypothesis,dataset,task,model,seed,representation,split_sample_seed,encoding_metadata,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
mixed_measure_ple,black-friday,regression,mlp,0,baseline_fixed_ple,2026,"{""columns"":{""0"":{""baseline"":{""active_width"":19,""atoms"":[],""column"":0,""knots"":20},""mixed"":{""active_width"":21,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281},""tail"":{""active_width"":4,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281}},""1"":{""baseline"":{""active_width"":10,""atoms"":[],""column"":1,""knots"":11},""mixed"":{""active_width"":14,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":5,""nonatom_rows"":814},""tail"":{""active_width"":2,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":3,""nonatom_rows"":814}},""2"":{""baseline"":{""active_width"":13,""atoms"":[],""column"":2,""knots"":14},""mixed"":{""active_width"":15,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517},""tail"":{""active_width"":1,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517}},""3"":{""baseline"":{""active_width"":14,""atoms"":[],""column"":3,""knots"":15},""mixed"":{""active_width"":16,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369},""tail"":{""active_width"":1,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369}}},""numeric_columns"":4}",534,501505,384,36,0.6932185141829592,0.6987060904502869,36.06800021906383,0;1;2;3,,gelu,0.48819023473282047,nan,0.5428215065628211
mixed_measure_ple,black-friday,regression,mlp,0,tail_reallocated_ple,2026,"{""columns"":{""0"":{""baseline"":{""active_width"":19,""atoms"":[],""column"":0,""knots"":20},""mixed"":{""active_width"":21,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281},""tail"":{""active_width"":4,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281}},""1"":{""baseline"":{""active_width"":10,""atoms"":[],""column"":1,""knots"":11},""mixed"":{""active_width"":14,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":5,""nonatom_rows"":814},""tail"":{""active_width"":2,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":3,""nonatom_rows"":814}},""2"":{""baseline"":{""active_width"":13,""atoms"":[],""column"":2,""knots"":14},""mixed"":{""active_width"":15,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517},""tail"":{""active_width"":1,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517}},""3"":{""baseline"":{""active_width"":14,""atoms"":[],""column"":3,""knots"":15},""mixed"":{""active_width"":16,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369},""tail"":{""active_width"":1,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369}}},""numeric_columns"":4}",534,501505,384,37,0.7013409794741605,0.7058382630348206,35.96678375406191,0;1;2;3,,gelu,0.4982076164505941,nan,0.550678875428553
mixed_measure_ple,black-friday,regression,mlp,0,mixed_measure_ple,2026,"{""columns"":{""0"":{""baseline"":{""active_width"":19,""atoms"":[],""column"":0,""knots"":20},""mixed"":{""active_width"":21,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281},""tail"":{""active_width"":4,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281}},""1"":{""baseline"":{""active_width"":10,""atoms"":[],""column"":1,""knots"":11},""mixed"":{""active_width"":14,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":5,""nonatom_rows"":814},""tail"":{""active_width"":2,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":3,""nonatom_rows"":814}},""2"":{""baseline"":{""active_width"":13,""atoms"":[],""column"":2,""knots"":14},""mixed"":{""active_width"":15,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517},""tail"":{""active_width"":1,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517}},""3"":{""baseline"":{""active_width"":14,""atoms"":[],""column"":3,""knots"":15},""mixed"":{""active_width"":16,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369},""tail"":{""active_width"":1,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369}}},""numeric_columns"":4}",534,501505,384,39,0.689275832253955,0.694091260433197,34.500626895111054,0;1;2;3,,gelu,0.4817626570735949,nan,0.5356719838403484
mixed_measure_ple,black-friday,regression,resnet,0,baseline_fixed_ple,2026,"{""columns"":{""0"":{""baseline"":{""active_width"":19,""atoms"":[],""column"":0,""knots"":20},""mixed"":{""active_width"":21,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281},""tail"":{""active_width"":4,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281}},""1"":{""baseline"":{""active_width"":10,""atoms"":[],""column"":1,""knots"":11},""mixed"":{""active_width"":14,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":5,""nonatom_rows"":814},""tail"":{""active_width"":2,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":3,""nonatom_rows"":814}},""2"":{""baseline"":{""active_width"":13,""atoms"":[],""column"":2,""knots"":14},""mixed"":{""active_width"":15,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517},""tail"":{""active_width"":1,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517}},""3"":{""baseline"":{""active_width"":14,""atoms"":[],""column"":3,""knots"":15},""mixed"":{""active_width"":16,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369},""tail"":{""active_width"":1,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369}}},""numeric_columns"":4}",534,1390081,384,19,0.6905783721634933,0.6957807540893555,25.185522962827235,0;1;2;3,,gelu,0.48411079308699095,nan,0.542835005141619
mixed_measure_ple,black-friday,regression,resnet,0,tail_reallocated_ple,2026,"{""columns"":{""0"":{""baseline"":{""active_width"":19,""atoms"":[],""column"":0,""knots"":20},""mixed"":{""active_width"":21,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281},""tail"":{""active_width"":4,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281}},""1"":{""baseline"":{""active_width"":10,""atoms"":[],""column"":1,""knots"":11},""mixed"":{""active_width"":14,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":5,""nonatom_rows"":814},""tail"":{""active_width"":2,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":3,""nonatom_rows"":814}},""2"":{""baseline"":{""active_width"":13,""atoms"":[],""column"":2,""knots"":14},""mixed"":{""active_width"":15,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517},""tail"":{""active_width"":1,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517}},""3"":{""baseline"":{""active_width"":14,""atoms"":[],""column"":3,""knots"":15},""mixed"":{""active_width"":16,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369},""tail"":{""active_width"":1,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369}}},""numeric_columns"":4}",534,1390081,384,31,0.7007686143523557,0.7056553363800049,35.0370407900773,0;1;2;3,,gelu,0.4979494084701892,nan,0.5512992839675046
mixed_measure_ple,black-friday,regression,resnet,0,mixed_measure_ple,2026,"{""columns"":{""0"":{""baseline"":{""active_width"":19,""atoms"":[],""column"":0,""knots"":20},""mixed"":{""active_width"":21,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281},""tail"":{""active_width"":4,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281}},""1"":{""baseline"":{""active_width"":10,""atoms"":[],""column"":1,""knots"":11},""mixed"":{""active_width"":14,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":5,""nonatom_rows"":814},""tail"":{""active_width"":2,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":3,""nonatom_rows"":814}},""2"":{""baseline"":{""active_width"":13,""atoms"":[],""column"":2,""knots"":14},""mixed"":{""active_width"":15,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517},""tail"":{""active_width"":1,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517}},""3"":{""baseline"":{""active_width"":14,""atoms"":[],""column"":3,""knots"":15},""mixed"":{""active_width"":16,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369},""tail"":{""active_width"":1,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369}}},""numeric_columns"":4}",534,1390081,384,16,0.6909964993205975,0.6937041282653809,20.61772033199668,0;1;2;3,,gelu,0.4812253953990402,nan,0.5373420858111146
mixed_measure_ple,black-friday,regression,tabm,0,baseline_fixed_ple,2026,"{""columns"":{""0"":{""baseline"":{""active_width"":19,""atoms"":[],""column"":0,""knots"":20},""mixed"":{""active_width"":21,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281},""tail"":{""active_width"":4,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281}},""1"":{""baseline"":{""active_width"":10,""atoms"":[],""column"":1,""knots"":11},""mixed"":{""active_width"":14,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":5,""nonatom_rows"":814},""tail"":{""active_width"":2,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":3,""nonatom_rows"":814}},""2"":{""baseline"":{""active_width"":13,""atoms"":[],""column"":2,""knots"":14},""mixed"":{""active_width"":15,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517},""tail"":{""active_width"":1,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517}},""3"":{""baseline"":{""active_width"":14,""atoms"":[],""column"":3,""knots"":15},""mixed"":{""active_width"":16,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369},""tail"":{""active_width"":1,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369}}},""numeric_columns"":4}",534,838840,512,32,0.6870370899241749,0.6900712847709656,47.5948423971422,0;1;2;3,8,relu,0.47619841394831264,nan,0.5338685412846187
mixed_measure_ple,black-friday,regression,tabm,0,tail_reallocated_ple,2026,"{""columns"":{""0"":{""baseline"":{""active_width"":19,""atoms"":[],""column"":0,""knots"":20},""mixed"":{""active_width"":21,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281},""tail"":{""active_width"":4,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281}},""1"":{""baseline"":{""active_width"":10,""atoms"":[],""column"":1,""knots"":11},""mixed"":{""active_width"":14,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":5,""nonatom_rows"":814},""tail"":{""active_width"":2,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":3,""nonatom_rows"":814}},""2"":{""baseline"":{""active_width"":13,""atoms"":[],""column"":2,""knots"":14},""mixed"":{""active_width"":15,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517},""tail"":{""active_width"":1,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517}},""3"":{""baseline"":{""active_width"":14,""atoms"":[],""column"":3,""knots"":15},""mixed"":{""active_width"":16,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369},""tail"":{""active_width"":1,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369}}},""numeric_columns"":4}",534,838840,512,36,0.6963841129814341,0.7017099857330322,39.07260734587908,0;1;2;3,8,relu,0.4923969292463867,nan,0.5476255204339119
mixed_measure_ple,black-friday,regression,tabm,0,mixed_measure_ple,2026,"{""columns"":{""0"":{""baseline"":{""active_width"":19,""atoms"":[],""column"":0,""knots"":20},""mixed"":{""active_width"":21,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281},""tail"":{""active_width"":4,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281}},""1"":{""baseline"":{""active_width"":10,""atoms"":[],""column"":1,""knots"":11},""mixed"":{""active_width"":14,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":5,""nonatom_rows"":814},""tail"":{""active_width"":2,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":3,""nonatom_rows"":814}},""2"":{""baseline"":{""active_width"":13,""atoms"":[],""column"":2,""knots"":14},""mixed"":{""active_width"":15,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517},""tail"":{""active_width"":1,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517}},""3"":{""baseline"":{""active_width"":14,""atoms"":[],""column"":3,""knots"":15},""mixed"":{""active_width"":16,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369},""tail"":{""active_width"":1,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369}}},""numeric_columns"":4}",534,838840,512,28,0.6857630045677539,0.6876412034034729,34.58770842803642,0;1;2;3,8,relu,0.47285043950555866,nan,0.5313687859111788
mixed_measure_ple,black-friday,regression,mlp,1,baseline_fixed_ple,2026,"{""columns"":{""0"":{""baseline"":{""active_width"":19,""atoms"":[],""column"":0,""knots"":20},""mixed"":{""active_width"":21,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281},""tail"":{""active_width"":4,""atom_rows"":94719,""atoms"":[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0],""column"":0,""knots"":5,""nonatom_rows"":5281}},""1"":{""baseline"":{""active_width"":10,""atoms"":[],""column"":1,""knots"":11},""mixed"":{""active_width"":14,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":5,""nonatom_rows"":814},""tail"":{""active_width"":2,""atom_rows"":99186,""atoms"":[1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0],""column"":1,""knots"":3,""nonatom_rows"":814}},""2"":{""baseline"":{""active_width"":13,""atoms"":[],""column"":2,""knots"":14},""mixed"":{""active_width"":15,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517},""tail"":{""active_width"":1,""atom_rows"":99483,""atoms"":[2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0],""column"":2,""knots"":2,""nonatom_rows"":517}},""3"":{""baseline"":{""active_width"":14,""atoms"":[],""column"":3,""knots"":15},""mixed"":{""active_width"":16,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369},""tail"":{""active_width"":1,""atom_rows"":99631,""atoms"":[4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0],""column"":3,""knots"":2,""nonatom_rows"":369}}},""numeric_columns"":4}",534,501505,384,39,0.6935197871815504,0.6975173354148865,35.4055078800302,0;1;2;3,,gelu,0.48653036636725416,nan,0.5416617588802288
