panel,dataset,method,selection_agreement,validation_quotient_regret,selected_quotient_test_loss,selected_realized_test_loss
confirmation,compustat_kor_direction,lhs_cross32,1.0,0.0,0.49504183403045376,0.49510957625802005
confirmation,compustat_kor_direction,seed_cross32,1.0,0.0,0.49504183403045376,0.4951119462573839
confirmation,compustat_kor_direction,sobol_cross32,1.0,0.0,0.49504183403045376,0.4951112508005989
confirmation,compustat_kor_direction,srswor_cross32,1.0,0.0,0.49504183403045376,0.4951298919567076
confirmation,compustat_kor_direction,strength1_cross32,1.0,0.0,0.49504183403045376,0.4951232278316307
confirmation,credit_card_default,lhs_cross32,1.0,0.0,0.2721779840816302,0.27219334388165867
confirmation,credit_card_default,seed_cross32,1.0,0.0,0.2721779840816302,0.27219623737927995
confirmation,credit_card_default,sobol_cross32,1.0,0.0,0.2721779840816302,0.2721791763235208
confirmation,credit_card_default,srswor_cross32,1.0,0.0,0.2721779840816302,0.27219426220985204
confirmation,credit_card_default,strength1_cross32,1.0,0.0,0.2721779840816302,0.27219962434902545
confirmation,credit_card_fraud,lhs_cross32,1.0,0.0,0.002567274734391755,0.0025672747343894807
confirmation,credit_card_fraud,seed_cross32,1.0,0.0,0.002567274734391755,0.002567274734737855
confirmation,credit_card_fraud,sobol_cross32,1.0,0.0,0.002567274734391755,0.002567274734391755
confirmation,credit_card_fraud,srswor_cross32,1.0,0.0,0.002567274734391755,0.002567274734408945
confirmation,credit_card_fraud,strength1_cross32,1.0,0.0,0.002567274734391755,0.0025672747343946636
confirmation,heloc_credit_risk,lhs_cross32,1.0,0.0,0.35786129555170393,0.35789085432150297
confirmation,heloc_credit_risk,seed_cross32,1.0,0.0,0.35786129555170393,0.3579111080114372
confirmation,heloc_credit_risk,sobol_cross32,1.0,0.0,0.35786129555170393,0.3579257466433797
confirmation,heloc_credit_risk,srswor_cross32,1.0,0.0,0.35786129555170393,0.3578853547908932
confirmation,heloc_credit_risk,strength1_cross32,1.0,0.0,0.35786129555170393,0.35790235040434626
confirmation,kdd17_stock_direction,lhs_cross32,0.7412109375,4.693399602196871e-05,0.49965049231203124,0.49973153219765143
confirmation,kdd17_stock_direction,seed_cross32,0.6943359375,5.7589836853479234e-05,0.4995931346334653,0.49961141201543247
confirmation,kdd17_stock_direction,sobol_cross32,0.7294921875,5.078279177098003e-05,0.4996482207350488,0.4996957876820213
confirmation,kdd17_stock_direction,srswor_cross32,0.7197265625,5.353281661612207e-05,0.4996416699903968,0.4997072688526936
confirmation,kdd17_stock_direction,strength1_cross32,0.7421875,4.7756525407136236e-05,0.4996623260196964,0.49972657202470644
confirmation,kdd17_stock_return,lhs_cross32,0.65625,1.819946405968477e-05,0.5535217742656875,0.5535442877587985
confirmation,kdd17_stock_return,seed_cross32,0.6630859375,1.9279812134951225e-05,0.5534977402663932,0.5534199858674306
confirmation,kdd17_stock_return,sobol_cross32,0.7412109375,1.3701301067660409e-05,0.5532472957618081,0.5531391800026089
confirmation,kdd17_stock_return,srswor_cross32,0.62109375,2.0060772883970712e-05,0.5536353515776375,0.55377041456892
confirmation,kdd17_stock_return,strength1_cross32,0.619140625,2.0885313547536514e-05,0.5536406866673161,0.5536742618118531
confirmation,polish_bankruptcy_1year,lhs_cross32,1.0,0.0,0.03960661055115997,0.039619436358029586
confirmation,polish_bankruptcy_1year,seed_cross32,1.0,0.0,0.03960661055115997,0.039613906413761626
confirmation,polish_bankruptcy_1year,sobol_cross32,1.0,0.0,0.03960661055115997,0.03961205999540486
confirmation,polish_bankruptcy_1year,srswor_cross32,1.0,0.0,0.03960661055115997,0.03961005659245881
confirmation,polish_bankruptcy_1year,strength1_cross32,1.0,0.0,0.03960661055115997,0.039614649060067335
confirmation,polish_bankruptcy_2year,lhs_cross32,1.0,0.0,0.03898719095246714,0.03898719095246714
confirmation,polish_bankruptcy_2year,seed_cross32,1.0,0.0,0.03898719095246714,0.03900098479323591
confirmation,polish_bankruptcy_2year,sobol_cross32,1.0,0.0,0.03898719095246714,0.03898719095246714
confirmation,polish_bankruptcy_2year,srswor_cross32,1.0,0.0,0.03898719095246714,0.038988675915290184
confirmation,polish_bankruptcy_2year,strength1_cross32,1.0,0.0,0.03898719095246714,0.03898719095246714
confirmation,polish_bankruptcy_3year,lhs_cross32,1.0,0.0,0.047186662206262484,0.047186662206262484
confirmation,polish_bankruptcy_3year,seed_cross32,0.998046875,1.1766105588943536e-06,0.047190491960081765,0.04722079120240672
confirmation,polish_bankruptcy_3year,sobol_cross32,1.0,0.0,0.047186662206262484,0.047186662206262484
confirmation,polish_bankruptcy_3year,srswor_cross32,1.0,0.0,0.047186662206262484,0.04718571373026627
confirmation,polish_bankruptcy_3year,strength1_cross32,1.0,0.0,0.047186662206262484,0.047186662206262484
confirmation,polish_bankruptcy_4year,lhs_cross32,1.0,0.0,0.04673440446582666,0.04674628082579202
confirmation,polish_bankruptcy_4year,seed_cross32,1.0,0.0,0.04673440446582666,0.04676018036358081
confirmation,polish_bankruptcy_4year,sobol_cross32,1.0,0.0,0.04673440446582666,0.04676114439113797
confirmation,polish_bankruptcy_4year,srswor_cross32,1.0,0.0,0.04673440446582666,0.0467350188192445
confirmation,polish_bankruptcy_4year,strength1_cross32,1.0,0.0,0.04673440446582666,0.046765727217878264
confirmation,polish_bankruptcy_5year,lhs_cross32,1.0,0.0,0.059455180921651585,0.059487547168492076
confirmation,polish_bankruptcy_5year,seed_cross32,1.0,0.0,0.059455180921651585,0.05949717983613801
confirmation,polish_bankruptcy_5year,sobol_cross32,1.0,0.0,0.059455180921651585,0.05947398889796484
confirmation,polish_bankruptcy_5year,srswor_cross32,1.0,0.0,0.059455180921651585,0.05946367013674962
confirmation,polish_bankruptcy_5year,strength1_cross32,1.0,0.0,0.059455180921651585,0.05947787945193444
menu_repeat,compustat_kor_direction,lhs_cross32,1.0,0.0,0.4953557386892694,0.49539919932438425
menu_repeat,compustat_kor_direction,seed_cross32,1.0,0.0,0.4953557386892694,0.4954016395765481
menu_repeat,compustat_kor_direction,sobol_cross32,1.0,0.0,0.4953557386892694,0.49539432575653025
menu_repeat,compustat_kor_direction,srswor_cross32,1.0,0.0,0.4953557386892694,0.4953939221373909
menu_repeat,compustat_kor_direction,strength1_cross32,1.0,0.0,0.4953557386892694,0.4954198487576567
