panel,dataset,task,method,draw,selected_model,validation_agreement,test_agreement,validation_quotient_regret,test_quotient_regret,selected_test_quotient_loss,validation_test_winner_agreement
openml_external,openml-breast-w-15,binclass,strength2_cross32,0,onehot_linear,True,True,0.0,0.0,0.06625076588022483,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,1,onehot_linear,True,True,0.0,0.0,0.06542596094344,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,2,ordinal_forest,True,False,0.0,0.011079954772929793,0.051625217506268785,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,3,ordinal_forest,True,False,0.0,0.012350455413294298,0.04584883007791229,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,4,onehot_linear,True,True,0.0,0.0,0.04072054892069324,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,5,ordinal_forest,True,False,0.0,0.01853581882006669,0.05159207106931238,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,6,ordinal_forest,True,False,0.0,0.010061878570623808,0.04778587437130337,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,7,onehot_linear,True,False,0.0,0.0007885876297707636,0.05474389153216811,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,8,onehot_linear,True,False,0.0,0.010946233827556953,0.06506722225030921,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,9,ordinal_forest,True,False,0.0,0.009100923515124537,0.06799791405657238,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,10,onehot_linear,True,False,0.0,0.0062775678205625185,0.0640846725703996,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,11,onehot_linear,True,True,0.0,0.0,0.06453320793034131,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,12,ordinal_forest,True,False,0.0,0.010181839833931311,0.05797273440417475,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,13,onehot_linear,True,True,0.0,0.0,0.04962325899716908,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,14,onehot_linear,True,False,0.0,0.003161586064128967,0.04186981373497812,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,15,onehot_linear,True,True,0.0,0.0,0.04278558253275724,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,16,onehot_linear,True,False,0.0,0.0021443092523590335,0.060945169627548444,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,17,ordinal_forest,True,False,0.0,0.01124422497260065,0.0629002876921605,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,18,onehot_linear,True,False,0.0,0.0019691869040230764,0.06571014129009492,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,19,onehot_linear,True,True,0.0,0.0,0.04545347767347744,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,20,onehot_linear,True,True,0.0,0.0,0.05168012305616608,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,21,onehot_linear,True,True,0.0,0.0,0.07625225161148169,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,22,ordinal_forest,True,False,0.0,0.016566400894413573,0.05999536671409564,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,23,onehot_linear,True,True,0.0,0.0,0.045455927006267036,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,24,onehot_linear,True,False,0.0,0.004483482190172243,0.05508930068084584,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,25,onehot_linear,True,True,0.0,0.0,0.041133187006286154,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,26,onehot_linear,True,True,0.0,0.0,0.06772348372903826,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,27,onehot_linear,True,True,0.0,0.0,0.0497149736342819,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,28,ordinal_forest,True,False,0.0,0.014904717748925565,0.04735355026447526,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,29,ordinal_forest,True,False,0.0,0.013734563332366043,0.04983188506545896,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,30,onehot_linear,True,True,0.0,0.0,0.060805520644387746,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,31,onehot_linear,True,True,0.0,0.0,0.07590668015736945,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,32,onehot_linear,True,False,0.0,0.00942879997893975,0.0543500562902383,False
openml_external,openml-breast-w-15,binclass,strength2_cross32,33,onehot_linear,True,True,0.0,0.0,0.04206760879329811,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,34,onehot_linear,True,True,0.0,0.0,0.040034567961184084,True
openml_external,openml-breast-w-15,binclass,strength2_cross32,35,ordinal_forest,True,False,0.0,0.01261792976446778,0.04485908305620815,False
