panel,dataset,problem_type,model,seed,method,family,split,alpha,selected_alpha,invariant_feature_fraction,raw_fallback,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,inference_passes,inference_multiplier,raw_task_error,method_task_error,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,tau,selected_candidate,selection_key,selected_features,selected_blocks,invariant_dimension_fraction,input_dimension,raw_input_dimension,input_dimension_ratio,fit_seconds,predict_seconds
guarded_new_untouched_prospective,waveform-5000,classification,controlled_mlp,0,Raw,fixed,validation,0.0,0.0,,True,0.060472042440164187,0.060472042440164187,0.06787055865861079,0.0,1,1.0,0.31010493421995167,0.31010493421995167,0.31010493421995167,0.31010493421995167,1.0985143048053567,0.0,0.0,0.7884093705854051,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,controlled_mlp,0,Raw,fixed,test,0.0,0.0,,True,0.061728107027487,0.061728107027487,0.06874282906019909,0.0,1,1.0,0.38773141539094025,0.38773141539094025,0.38773141539094025,0.38773141539094025,1.0985714006966874,0.0,0.0,0.7108399853057471,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,controlled_mlp,0,Raw+Gram@0.5,fixed,validation,0.5,0.5,,False,0.060472042440164187,0.030236021109063458,0.033935279374694635,0.5000000018358671,2,2.0,0.31010493421995167,0.3050678359665878,0.31010493421995167,0.3050678359665878,1.0985143048053567,-0.0050370982533638475,-0.016243205758832355,0.7884093705854051,-0.0063889375764569255,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,controlled_mlp,0,Raw+Gram@0.5,fixed,test,0.5,0.5,,False,0.061728107027487,0.030864053494622793,0.03437141461491654,0.5000000003097569,2,2.0,0.38773141539094025,0.38129164176563285,0.38773141539094025,0.38129164176563285,1.0985714006966874,-0.006439773625307399,-0.016608851822889643,0.7108399853057471,-0.009059385738602646,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,controlled_mlp,0,Raw+Gram@0.75,fixed,validation,0.75,0.75,,False,0.060472042440164187,0.015118010526777094,0.01696763969869466,0.7500000013768999,2,2.0,0.31010493421995167,0.3126085808297022,0.31010493421995167,0.3126085808297022,1.0985143048053567,0.002503646609750554,0.00807354651111344,0.7884093705854051,0.0031755667844124698,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,controlled_mlp,0,Raw+Gram@0.75,fixed,test,0.75,0.75,,False,0.061728107027487,0.015432026742531245,0.01718570732866254,0.7500000002323173,2,2.0,0.38773141539094025,0.3923679961914823,0.38773141539094025,0.3923679961914823,1.0985714006966874,0.004636580800542078,0.011958228341820396,0.7108399853057471,0.006522678656783479,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,controlled_mlp,0,PureGram,fixed,validation,1.0,1.0,,False,0.060472042440164187,0.0,0.0,1.0,1,1.0,0.31010493421995167,0.3330081429127204,0.31010493421995167,0.3330081429127204,1.0985143048053567,0.02290320869276874,0.07385631818590774,0.7884093705854051,0.029049894061714137,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,controlled_mlp,0,PureGram,fixed,test,1.0,1.0,,False,0.061728107027487,0.0,0.0,1.0,1,1.0,0.38773141539094025,0.43406703357413495,0.38773141539094025,0.43406703357413495,1.0985714006966874,0.046335618183194704,0.11950442069925032,0.7108399853057471,0.06518431593752395,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,controlled_mlp,0,GuardedGram-G2-g0p0-t01,G2,validation,0.75,0.75,,False,0.060472042440164187,0.015118010526777094,0.01696763969869466,0.7500000013768999,2,2.0,0.31010493421995167,0.3126085808297022,0.31010493421995167,0.3126085808297022,1.0985143048053567,0.002503646609750554,0.00807354651111344,0.7884093705854051,0.0031755667844124698,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,controlled_mlp,0,GuardedGram-G2-g0p0-t01,G2,test,0.75,0.75,,False,0.061728107027487,0.015432026742531245,0.01718570732866254,0.7500000002323173,2,2.0,0.38773141539094025,0.3923679961914823,0.38773141539094025,0.3923679961914823,1.0985714006966874,0.004636580800542078,0.011958228341820396,0.7108399853057471,0.006522678656783479,False,,,,,,,,,,,
