experiment,intervention_class,dataset,task,model,optimizer,weight_decay,seed,representation,split_fingerprint,regularizer,rank,effective_rank,sigma_max,sigma_min_nonzero,condition_number,log_condition_number,trace_cov,logdet_nonzero_cov,max_variance,min_nonzero_variance,target_kappa,realized_block_kappa_mean,transform_seed,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
ordinal_kappa,A,diamond,regression,mlp,AdamW,0.0001,0,ordinal_kappa_1,ae5eda1e4664e699,standard,23,17.293994282626116,2.0804162080625117,0.061689967669389376,33.723736397657675,1.527935685970167,22.958524992882843,-14.356015518928555,1.0040059693246546,0.0,1.0,1.0000000000000007,51000,23,137985,40,0.020245201885700226,0.02235598862171173,0.022472625598311424,0.14916747660392904,0.1495560915653762,0.08158905804157257,9.185297966003418,0.008360889740288258,7.770122654968873
ordinal_kappa,A,diamond,regression,mlp,AdamW,0.0001,0,ordinal_kappa_1000,ae5eda1e4664e699,standard,23,3.8005219108157897,32.97113165957706,0.02892185958484233,1140.0073208590265,3.0569076402824984,3194.515375306212,-14.35604154730928,950.0015345144893,0.0,1000.0,1000.000000000005,51000,23,137985,38,0.02336488850414753,0.025631973519921303,0.025625254958868027,0.1597232763933496,0.15970234491155022,1.016708493232727,11.930472373962402,0.008362522348761559,8.267724411096424
ordinal_kappa,A,adult,binclass,mlp,AdamW,0.0001,0,ordinal_kappa_1,cf26f38091e76190,standard,98,25.74881711729491,2.0510818836827354,0.006256747761957065,327.819174068985,2.5156343517629223,30.0760314575926,-392.1886081707606,4.020346722999055,0.0,1.0,1.000000000000001,51000,100,157697,17,0.2892575651591182,0.31023815648684083,0.31015084150255245,0.8570551205281745,0.8565198697868681,0.05909260734915733,13.550094604492188,0.01694462075829506,4.030174863059074
ordinal_kappa,A,adult,binclass,mlp,AdamW,0.0001,1,ordinal_kappa_1,cf26f38091e76190,standard,98,25.74881711729491,2.0510818836827354,0.006256747761957065,327.819174068985,2.5156343517629223,30.0760314575926,-392.1886081707606,4.020346722999055,0.0,1.0,1.000000000000001,51000,100,157697,19,0.28674021540157835,0.3093451442005563,0.3085994449076549,0.8569015814524796,0.8589153000429949,0.05882207676768303,13.992910385131836,0.016955221071839333,4.239676536992192
ordinal_kappa,A,adult,binclass,mlp,AdamW,0.0001,2,ordinal_kappa_1,cf26f38091e76190,standard,98,25.74881711729491,2.0510818836827354,0.006256747761957065,327.819174068985,2.5156343517629223,30.0760314575926,-392.1886081707606,4.020346722999055,0.0,1.0,1.000000000000001,51000,100,157697,12,0.29492100544502564,0.31053191919366596,0.3098351805090987,0.8562874251497006,0.8579325594250967,0.07143179327249527,12.080832481384277,0.01713038794696331,3.1590781998820603
ordinal_kappa,A,adult,binclass,mlp,AdamW,0.0001,3,ordinal_kappa_1,cf26f38091e76190,standard,98,25.74881711729491,2.0510818836827354,0.006256747761957065,327.819174068985,2.5156343517629223,30.0760314575926,-392.1886081707606,4.020346722999055,0.0,1.0,1.000000000000001,51000,100,157697,16,0.2885446420682765,0.3082871230129224,0.3102751273863043,0.8562874251497006,0.8568883975185799,0.06395146995782852,13.038227081298828,0.01704804040491581,4.183845937950537
ordinal_kappa,A,adult,binclass,mlp,AdamW,0.0001,4,ordinal_kappa_1,cf26f38091e76190,standard,98,25.74881711729491,2.0510818836827354,0.006256747761957065,327.819174068985,2.5156343517629223,30.0760314575926,-392.1886081707606,4.020346722999055,0.0,1.0,1.000000000000001,51000,100,157697,17,0.28663112302869936,0.3091907318559283,0.3107357888822575,0.8545984953170582,0.8563970272096308,0.06253186613321304,13.41617488861084,0.017022233456373215,4.276778219034895
ordinal_kappa,A,adult,binclass,mlp,AdamW,0.0001,0,ordinal_kappa_3,cf26f38091e76190,standard,98,23.162988607371968,2.0837721953016675,0.00625674775620216,333.0439833116295,2.522501592209477,33.76869242507051,-392.11588797087205,4.020346722999055,0.0,3.0,2.9999999999999987,51000,100,157697,17,0.2894378749747114,0.31078181395011106,0.3097665518250781,0.8576692768309535,0.8563970272096308,0.059160057455301285,13.630069732666016,0.016946179792284966,4.441182630136609
ordinal_kappa,A,adult,binclass,mlp,AdamW,0.0001,1,ordinal_kappa_3,cf26f38091e76190,standard,98,23.162988607371968,2.0837721953016675,0.00625674775620216,333.0439833116295,2.522501592209477,33.76869242507051,-392.11588797087205,4.020346722999055,0.0,3.0,2.9999999999999987,51000,100,157697,19,0.28659156327386953,0.3084233886267585,0.30863902672793236,0.8558268079226163,0.8585467723112831,0.058872368186712265,14.015064239501953,0.016953101381659508,4.929483121959493
ordinal_kappa,A,adult,binclass,mlp,AdamW,0.0001,2,ordinal_kappa_3,cf26f38091e76190,standard,98,23.162988607371968,2.0837721953016675,0.00625674775620216,333.0439833116295,2.522501592209477,33.76869242507051,-392.11588797087205,4.020346722999055,0.0,3.0,2.9999999999999987,51000,100,157697,12,0.2960518353932523,0.31075515852443186,0.310267305040432,0.8569015814524796,0.8571955039616731,0.07152611017227173,12.10315227508545,0.017134973779320717,3.5718361539766192
