Family,Method,Information exposed,Scope
Candidate,MPE,normalized Gaussian weights × learned landmark tokens,all
Categorical,UNK / support-complete,lookup or one-hot with one unseen fallback,all
Code,Q-PLE / uniform PLE,piecewise-linear features of storage codes,all
Same metric,Similarity Encoding,normalized and raw affinities to identical landmarks,all
Same metric,RBF / Nyström,classical kernel landmark coordinates,all
Same metric,metric kNN,training-only neighbor target interpolation,all
Causal control,10 corrupt MPEs,"state-to-geometry permutation, capacity preserved",primary
Negative control,equality MPE,all distinct unseen nominal states collapse,all
Hierarchy,ancestor / path / Wu-Palmer / LCH,official hierarchy specialists,ACS/Amazon
Graph,Laplacian / node2vec / route similarity,target-independent topology,graph tasks
Geographic,coordinates / Fourier / spatial RBF,published latitude/longitude,TLC/Citi/BTS
String,trigram / Jaro-Winkler / Levenshtein,surface-string similarity,secondary
Trees,CatBoost / LightGBM,"native categorical GBDT, plus MPE subset",all
Neural,MLP / ResNet / FT-Transformer / TabM,identical frozen trials per representation,all
