dataset,task,seed,bins,left_column,right_column,left_cardinality,right_cardinality,pair_cardinality,mean_fit_cardinality,baseline_loss,corrected_loss,relative_gain,fold_wins
microsoft,regression,0,16,0,1,17,8,64,61.4,0.8392574526354838,0.839435635379968,-0.0002123099937029855,1
microsoft,regression,0,16,0,2,17,10,79,74.6,0.8392574526354838,0.8394334974828718,-0.0002097626262777333,1
microsoft,regression,0,16,0,3,17,8,70,67.4,0.8392574526354838,0.8397229200145484,-0.0005546181062830282,0
microsoft,regression,0,16,0,4,17,17,36,35.0,0.8392574526354838,0.8394215587265412,-0.00019553724610022982,0
microsoft,regression,0,16,0,5,17,44,77,74.2,0.8392574526354838,0.8393207395393562,-7.540821195406065e-05,0
microsoft,regression,0,16,0,6,17,27,102,97.6,0.8392574526354838,0.8395292818809662,-0.00032389256077357406,1
microsoft,regression,0,16,0,7,17,38,152,143.8,0.8392574526354838,0.8394390643477944,-0.00021639570996988164,1
microsoft,regression,0,16,0,8,17,30,131,124.8,0.8392574526354838,0.8397307115143477,-0.000563901908023341,0
microsoft,regression,0,16,0,9,17,45,100,96.0,0.8392574526354838,0.8394064494211247,-0.00017753406320440216,0
microsoft,regression,0,16,0,11,17,122,459,423.0,0.8392574526354838,0.8397185224111311,-0.0005493782321496549,0
microsoft,regression,0,16,0,13,17,61,335,316.0,0.8392574526354838,0.8397659295238717,-0.0006058652047607159,2
microsoft,regression,0,16,0,21,17,45,178,165.6,0.8392574526354838,0.8398011030487225,-0.0006477754966982662,0
microsoft,regression,0,16,0,22,17,44,197,186.0,0.8392574526354838,0.8394525720976717,-0.00023249059221951468,2
microsoft,regression,0,16,0,23,17,12,95,91.2,0.8392574526354838,0.8395973595157616,-0.00040500906987534836,0
microsoft,regression,0,16,0,26,17,20,71,67.2,0.8392574526354838,0.8395263838430429,-0.0003204394631404175,0
microsoft,regression,0,16,0,27,17,21,66,61.6,0.8392574526354838,0.8394466273678355,-0.0002254072713416321,1
microsoft,regression,0,16,0,28,17,5,33,32.4,0.8392574526354838,0.8394603993642527,-0.00024181701113473036,0
microsoft,regression,0,16,0,31,17,34,130,120.8,0.8392574526354838,0.8395721804944641,-0.0003750075236055631,1
microsoft,regression,0,16,0,32,17,36,135,127.2,0.8392574526354838,0.8395041490072691,-0.00029394600073031886,0
microsoft,regression,0,16,0,33,17,7,61,59.0,0.8392574526354838,0.8394693946334513,-0.00025253513960695547,0
microsoft,regression,0,16,0,36,17,103,273,251.6,0.8392574526354838,0.8397610944704345,-0.0006001040960304834,0
microsoft,regression,0,16,0,37,17,119,317,296.8,0.8392574526354838,0.8396286413662799,-0.0004422823171012479,2
microsoft,regression,0,16,0,38,17,52,177,168.0,0.8392574526354838,0.8398059456201279,-0.0006535455633091983,0
microsoft,regression,0,16,0,43,17,64,177,165.6,0.8392574526354838,0.8395833560695299,-0.0003883235508040211,0
microsoft,regression,0,16,0,53,17,75,238,224.8,0.8392574526354838,0.8399039081990972,-0.0007702708645402999,0
microsoft,regression,0,16,0,58,17,100,407,378.4,0.8392574526354838,0.840057354448029,-0.0009531065944464271,0
microsoft,regression,0,16,0,120,17,20,137,131.2,0.8392574526354838,0.8395516370371638,-0.0003505293885162875,1
microsoft,regression,0,16,0,123,17,106,558,534.4,0.8392574526354838,0.8404658710505267,-0.001439866171278181,0
microsoft,regression,0,16,1,2,8,10,52,49.8,0.8392574526354838,0.8392405422117226,2.0149268508811973e-05,3
microsoft,regression,0,16,1,3,8,8,45,43.2,0.8392574526354838,0.839469873404625,-0.0002531056095768115,1
microsoft,regression,0,16,1,4,8,17,51,49.4,0.8392574526354838,0.8394737888667176,-0.0002577709981061208,0
microsoft,regression,0,16,1,5,8,44,102,96.6,0.8392574526354838,0.8395321181579889,-0.00032727206847265016,0
microsoft,regression,0,16,1,6,8,27,39,37.0,0.8392574526354838,0.8394218655063398,-0.0001959027832755044,0
microsoft,regression,0,16,1,7,8,38,113,106.8,0.8392574526354838,0.8394664629481118,-0.0002490419500853314,1
microsoft,regression,0,16,1,8,8,30,104,98.6,0.8392574526354838,0.8394776105334374,-0.00026232462668308355,2
microsoft,regression,0,16,1,9,8,45,87,83.2,0.8392574526354838,0.8395274887121433,-0.0003217559472502252,0
microsoft,regression,0,16,1,11,8,122,355,326.8,0.8392574526354838,0.8399121232306432,-0.0007800593168444461,0
microsoft,regression,0,16,1,13,8,61,163,156.6,0.8392574526354838,0.8401755347787038,-0.001093921942947262,0
microsoft,regression,0,16,1,21,8,45,111,102.0,0.8392574526354838,0.8394315925597289,-0.000207492854187047,0
microsoft,regression,0,16,1,22,8,44,132,123.4,0.8392574526354838,0.8395348497252021,-0.0003305268113463906,0
microsoft,regression,0,16,1,23,8,12,61,58.0,0.8392574526354838,0.8395724928376197,-0.00037537968968473344,0
microsoft,regression,0,16,1,26,8,20,56,52.0,0.8392574526354838,0.8394832083572668,-0.0002689945988254617,0
microsoft,regression,0,16,1,27,8,21,56,52.4,0.8392574526354838,0.8393971957902437,-0.0001665080891699242,0
microsoft,regression,0,16,1,28,8,5,23,22.4,0.8392574526354838,0.8395001870099457,-0.00028922516410146185,0
microsoft,regression,0,16,1,31,8,34,87,79.6,0.8392574526354838,0.83950121670181,-0.0002904520723178808,1
microsoft,regression,0,16,1,32,8,36,88,82.6,0.8392574526354838,0.839492208728977,-0.000279718807090746,1
microsoft,regression,0,16,1,33,8,7,32,31.4,0.8392574526354838,0.8394044942028301,-0.00017520436295752004,2
microsoft,regression,0,16,1,36,8,103,207,190.8,0.8392574526354838,0.8395563442557008,-0.00035613817819361127,1
microsoft,regression,0,16,1,37,8,119,297,276.2,0.8392574526354838,0.8397721491587972,-0.000613276083157909,1
microsoft,regression,0,16,1,38,8,52,155,146.8,0.8392574526354838,0.8396974083614677,-0.0005242202194360051,0
microsoft,regression,0,16,1,43,8,64,153,142.0,0.8392574526354838,0.8394237201841799,-0.0001981126866064323,1
microsoft,regression,0,16,1,53,8,75,180,168.6,0.8392574526354838,0.8394849218414561,-0.000271036265758455,2
microsoft,regression,0,16,1,58,8,100,252,236.4,0.8392574526354838,0.8400078066510906,-0.0008940689334965732,0
microsoft,regression,0,16,1,120,8,20,68,65.6,0.8392574526354838,0.8391143546448623,0.00017050547501502164,3
microsoft,regression,0,16,1,123,8,106,387,369.2,0.8392574526354838,0.8403024575333471,-0.0012451541473736292,0
microsoft,regression,0,16,2,3,10,8,51,49.4,0.8392574526354838,0.839231691537142,3.069510823030551e-05,2
microsoft,regression,0,16,2,4,10,17,79,74.6,0.8392574526354838,0.8394589327162263,-0.00024006945676776625,0
microsoft,regression,0,16,2,5,10,44,128,120.8,0.8392574526354838,0.8394636986038951,-0.00024574815244556914,0
microsoft,regression,0,16,2,6,10,27,103,97.4,0.8392574526354838,0.8395831123073147,-0.0003880331009373857,1
microsoft,regression,0,16,2,7,10,38,59,56.8,0.8392574526354838,0.8393952381147883,-0.00016417546114349074,1
microsoft,regression,0,16,2,8,10,30,123,117.4,0.8392574526354838,0.8394992509268387,-0.0002881097934795178,0
microsoft,regression,0,16,2,9,10,45,128,120.8,0.8392574526354838,0.8394774939049547,-0.0002621856604072608,0
microsoft,regression,0,16,2,11,10,122,365,341.0,0.8392574526354838,0.8396439987120722,-0.00046058104741821004,0
microsoft,regression,0,16,2,13,10,61,256,242.4,0.8392574526354838,0.8394659020808297,-0.000248373660181797,2
microsoft,regression,0,16,2,21,10,45,148,138.8,0.8392574526354838,0.8395963734862053,-0.00040383418658626754,0
microsoft,regression,0,16,2,22,10,44,129,120.2,0.8392574526354838,0.8394859477990998,-0.0002722587245409277,1
microsoft,regression,0,16,2,23,10,12,72,69.0,0.8392574526354838,0.8394633483954879,-0.0002453308688025416,1
microsoft,regression,0,16,2,26,10,20,65,61.2,0.8392574526354838,0.8393184511672731,-7.268154914533381e-05,2
microsoft,regression,0,16,2,27,10,21,58,54.0,0.8392574526354838,0.8394440868036872,-0.00022238011425139605,0
microsoft,regression,0,16,2,28,10,5,26,25.6,0.8392574526354838,0.8393999588423081,-0.00016980034717215328,1
microsoft,regression,0,16,2,31,10,34,100,93.4,0.8392574526354838,0.8394087796047932,-0.00018031054574995094,0
microsoft,regression,0,16,2,32,10,36,101,93.8,0.8392574526354838,0.8395479728690309,-0.000346163424149329,0
microsoft,regression,0,16,2,33,10,7,43,41.4,0.8392574526354838,0.8395310464263966,-0.000325995068680888,0
microsoft,regression,0,16,2,36,10,103,285,263.4,0.8392574526354838,0.839687786138081,-0.0005127550565632618,1
microsoft,regression,0,16,2,37,10,119,267,248.4,0.8392574526354838,0.8396258683485539,-0.0004389781847193539,1
microsoft,regression,0,16,2,38,10,52,174,165.8,0.8392574526354838,0.839786205332659,-0.0006300244287552151,0
microsoft,regression,0,16,2,43,10,64,185,173.0,0.8392574526354838,0.8397037944038983,-0.0005318293772821293,0
microsoft,regression,0,16,2,53,10,75,226,213.4,0.8392574526354838,0.8397487626044667,-0.000585410314129598,0
microsoft,regression,0,16,2,58,10,100,339,317.4,0.8392574526354838,0.8398631124269453,-0.0007216614991736044,0
microsoft,regression,0,16,2,120,10,20,99,93.8,0.8392574526354838,0.8392344416117365,2.7418313266070024e-05,3
microsoft,regression,0,16,2,123,10,106,445,428.0,0.8392574526354838,0.8409399432110586,-0.002004737128388123,0
microsoft,regression,0,16,3,4,8,17,61,58.4,0.8392574526354838,0.8396017361891863,-0.0004102240053053927,0
microsoft,regression,0,16,3,5,8,44,121,114.4,0.8392574526354838,0.8395874149798841,-0.0003931598621664146,0
microsoft,regression,0,16,3,6,8,27,96,90.0,0.8392574526354838,0.8394952357272428,-0.00028332556477435653,0
microsoft,regression,0,16,3,7,8,38,127,121.8,0.8392574526354838,0.8391306304088549,0.000151112422333098,3
microsoft,regression,0,16,3,8,8,30,42,41.6,0.8392574526354838,0.8395620386462191,-0.0003629232123931392,0
microsoft,regression,0,16,3,9,8,45,108,101.6,0.8392574526354838,0.8393913954979267,-0.00015959686985481445,1
microsoft,regression,0,16,3,11,8,122,302,283.0,0.8392574526354838,0.8397245158834408,-0.000556519631121868,0
microsoft,regression,0,16,3,13,8,61,215,204.8,0.8392574526354838,0.8401482838253043,-0.0010614516284878197,0
microsoft,regression,0,16,3,21,8,45,136,126.2,0.8392574526354838,0.8396086189905829,-0.0004184250661062087,0
